75,-127,331
80,-151,328
70,-187,323
65,-263,269
45,-396,137
70,-469,-115
110,-409,-294
80,-383,-338
16,-330,-420
61,-58,-528
17,289,-385
70,407,-152
96,384,23
87,315,144
127,127,257
156,-50,283
138,-173,263
103,-160,261
102,-234,225
196,-251,185
396,-82,94
440,-80,-36
438,-76,-202
392,-86,-257
363,-121,-293
346,-126,-312
288,-113,-379
150,-138,-417
23,-178,-396
-86,-238,-327
-170,-229,-220
-207,-240,-120
-151,-290,42
-62,-255,169
31,-223,231
132,-187,237
178,-147,253
171,-160,248
161,-163,251
120,-208,240
68,-251,217
27,-313,166
46,-392,74
6,-397,1
-60,-394,-112
-76,-345,-253
33,-275,-369
178,-202,-396
348,-113,-322
421,-35,-214
427,80,-66
342,99,125
195,44,235
86,-16,263
38,-66,253
-3,-147,241
36,-178,234
28,-280,185
8,-293,170
72,-266,201
235,-271,134
301,-314,-23
240,-336,-247
163,-306,-361
111,-259,-403
8,-230,-410
-68,-170,-403
-113,-165,-374
-140,193,-287
70,352,-142
40,360,-166
-20,302,-277
-32,260,-333
-120,172,-348
-212,49,-289
-262,-104,-161
-240,-190,-12
-107,-263,132
42,-237,208
138,-189,229
123,-293,195
90,-409,19
91,-431,-145
150,-373,-264
123,-264,-388
117,-187,-429
171,-61,-430
150,70,-412
121,105,-418
105,99,-421
111,24,-440
88,-123,-442
51,-283,-371
47,-341,-304
36,-353,-302
46,-403,-204
62,-388,29
105,-245,208
95,-203,230
77,-229,218
55,125,228
62,216,174
57,260,130
90,276,117
188,327,-3
208,314,-91
207,310,-144
211,319,-148
207,313,-103
193,298,20
210,109,196
216,-16,222
205,-200,183
197,-370,-17
208,-371,-65
211,-369,-60
207,-365,-24
200,-352,-210
183,-223,-369
161,-97,-428
183,-69,-430
186,-61,-423
133,-173,-413
53,-353,-290
73,-395,-192
216,-356,23
231,-186,172
178,-74,231
213,-191,187
277,-260,71
252,-151,157
253,-30,192
285,52,144
221,19,199
278,-110,141
220,-31,171
46,134,180
62,302,-110
182,167,-333
186,63,-386
193,1,-396
213,121,-366
223,9,-388
241,30,-371
227,93,-375
226,176,-329
157,305,-176
175,167,169
223,-110,199
228,-194,170
231,-301,67
212,-354,-66
195,-336,-255
166,-283,-317
190,-195,-390
160,-127,-414
240,-174,-375
170,-294,-328
188,-337,-273
263,-267,-302
250,-177,-370
160,-96,-436
202,-127,-424
287,-237,-284
225,-323,-235
105,-334,-314
48,-238,-383
-17,-91,-434
45,-10,-451
120,-49,-439
180,-273,-331
157,-388,-90
153,-340,65
201,-165,197
280,-104,176
366,-84,42
351,-87,79
236,-163,180
167,-250,166
163,-157,207
132,70,228
115,232,142
80,334,-100
126,330,-160
137,305,-208
180,268,-267
190,245,-291
212,224,-294
225,167,-353
210,86,-394
245,10,-407
207,-33,-419
210,-18,-421
241,-14,-401
243,-152,-374
217,-344,-210
231,-337,15
215,-300,93
223,-290,106
267,-344,-36
271,-340,-114
252,-273,-291
180,-13,-429
198,303,-207
180,297,58
183,129,209
178,-105,231
186,-243,170
182,-229,181
183,-277,145
150,-344,76
130,-388,-34
140,-388,-26
118,-400,-33
110,-399,-71
83,-410,-30
140,-396,-61
247,-349,-46
301,-322,-109
301,-301,-185
336,-275,-185
393,-181,-79
395,-39,56
271,-69,207
117,-143,264
-26,-220,222
121,-223,226
317,-258,78
417,-216,-85
410,-159,-252
408,19,-307
426,134,-47
203,254,136
-68,270,136
-186,210,82
-248,199,-82
-273,100,-126
-256,90,-121
-290,-33,-85
-250,-245,-63
-217,-273,-225
-76,-79,-479
7,41,-471
-85,206,-355
-117,245,-284
-68,199,-361
-46,6,-452
43,-113,-469
91,3,-469
-13,202,-369
-140,224,-284
-186,194,-244
-183,50,-354
-90,-80,-436
-65,20,-446
-166,197,-278
-176,236,-185
-40,219,139
86,37,273
147,-114,262
118,-168,266
108,-136,271
113,-103,278
120,-109,264
133,-129,280
166,-71,273
177,-18,267
141,-30,271
128,22,275
101,-16,278
78,-35,271
76,-22,278
85,-28,274
86,-1,278
75,-7,289
78,3,290
86,3,293
77,15,269
60,-78,272
83,-181,258
82,-300,179
6,-379,42
-6,-356,91
-43,-142,231
-51,-56,258
-53,9,256
-58,82,231
-128,243,72
-183,212,-229
-208,9,-337
-186,-32,-371
-165,-41,-385
-177,-70,-380
-177,-101,-367
-88,6,-450
60,135,-444
90,10,-468
141,-236,-415
183,-410,-202
171,-397,67
